Human-Readable Term,Reduction Steps,Normal Form,Normal Form Size
K(S(KK)(SS))S,1,S(KK)(SS),5
K(SK(K(SS)))S,1,SK(K(SS)),5
K(S(K(K(SS))))S,1,S(K(K(SS))),5
K(S(KK))S(SS),1,S(KK)(SS),5
KSK(KS)(SS),1,S(KS)(SS),5
KSKK(SSS),1,SK(SSS),5
KSKK(S(SS)),1,SK(S(SS)),5
K(SK)K(SSS),1,SK(SSS),5
K(SK)K(S(SS)),1,SK(S(SS)),5
KSK(K(SSS)),1,S(K(SSS)),5
KSK(K(S(SS))),1,S(K(S(SS))),5
K(S(KK)(SS)S),2,K(K(SSS)),5
K(S(KKSS)S),1,K(S(KS)S),5
K(S(K(KS)S)S),1,K(S(KS)S),5
K(S(K(KSS))S),1,K(S(KS)S),5
K(S(KK)S(SS)),2,K(K(S(SS))),5
K(S(KKS)(SS)),1,K(SK(SS)),5
K(SK(KSSS)),1,K(SK(SS)),5
K(SK(K(SS)S)),1,K(SK(SS)),5
K(S(K(K(SS))S)),1,K(S(K(SS))),5
K(S(KKS(SS))),1,K(S(K(SS))),5
K(S(K(KSSS))),1,K(S(K(SS))),5
K(S(K(K(SS)S))),1,K(S(K(SS))),5
K(S(K(KS)))SK,1,S(K(KS))K,5
KSK(K(SS))K,1,S(K(SS))K,5
K(S(K(KS))S)K,1,S(K(KS))S,5
K(S(KK)(SS))K,1,S(KK)(SS),5
K(SK(K(SS)))K,1,SK(K(SS)),5
K(S(K(K(SS))))K,1,S(K(K(SS))),5
K(S(KK))S(SK),1,S(KK)(SK),5
KSK(KS)(SK),1,S(KS)(SK),5
KSKK(SSK),1,SK(SSK),5
KSKK(S(SK)),1,SK(S(SK)),5
K(SK)K(SSK),1,SK(SSK),5
K(SK)K(S(SK)),1,SK(S(SK)),5
KSK(K(SSK)),1,S(K(SSK)),5
KSK(K(S(SK))),1,S(K(S(SK))),5
K(S(KK)(SS)K),2,K(K(SSK)),5
K(S(KKSS)K),1,K(S(KS)K),5
K(S(K(KS)S)K),1,K(S(KS)K),5
K(S(K(KSS))K),1,K(S(KS)K),5
K(S(KK)S(SK)),2,K(K(S(SK))),5
K(S(KKS)(SK)),1,K(SK(SK)),5
K(SK(KSSK)),1,K(SK(SK)),5
K(SK(K(SS)K)),1,K(SK(SS)),5
K(S(K(K(SS))K)),1,K(S(K(SS))),5
K(S(KKS(SK))),1,K(S(K(SK))),5
K(S(K(KSSK))),1,K(S(K(SK))),5
K(S(K(K(SS)K))),1,K(S(K(SS))),5
K(S(K(KS)))KS,1,S(K(KS))S,5
KSK(K(SK))S,1,S(K(SK))S,5
K(S(K(KS))K)S,1,S(K(KS))K,5
K(S(KK)(SK))S,1,S(KK)(SK),5
K(SK(K(SK)))S,1,SK(K(SK)),5
K(S(K(K(SK))))S,1,S(K(K(SK))),5
K(S(KK))S(KS),1,S(KK)(KS),5
KSK(KS)(KS),1,S(KS)(KS),5
KSKK(SKS),1,SK(SKS),5
KSKK(S(KS)),1,SK(S(KS)),5
K(SK)K(SKS),1,SK(SKS),5
K(SK)K(S(KS)),1,SK(S(KS)),5
KSK(K(SKS)),1,S(K(SKS)),5
KSK(K(S(KS))),1,S(K(S(KS))),5
K(S(KK)(SK)S),2,K(K(SKS)),5
K(S(KKSK)S),1,K(S(KK)S),5
K(S(K(KS)K)S),1,K(S(KS)S),5
K(S(K(KSK))S),1,K(S(KS)S),5
K(S(KK)S(KS)),2,K(K(S(KS))),5
K(S(KKS)(KS)),1,K(SK(KS)),5
K(SK(KSKS)),1,K(SK(SS)),5
K(SK(K(SK)S)),1,K(SK(SK)),5
K(S(K(K(SK))S)),1,K(S(K(SK))),5
K(S(KKS(KS))),1,K(S(K(KS))),5
K(S(K(KSKS))),1,K(S(K(SS))),5
K(S(K(K(SK)S))),1,K(S(K(SK))),5
K(S(K(KS)))KK,1,S(K(KS))K,5
KSK(K(SK))K,1,S(K(SK))K,5
K(S(K(KS))K)K,1,S(K(KS))K,5
K(S(KK)(SK))K,1,S(KK)(SK),5
K(SK(K(SK)))K,1,SK(K(SK)),5
K(S(K(K(SK))))K,1,S(K(K(SK))),5
K(S(KK))S(KK),1,S(KK)(KK),5
KSK(KS)(KK),1,S(KS)(KK),5
KSKK(SKK),1,SK(SKK),5
KSKK(S(KK)),1,SK(S(KK)),5
K(SK)K(SKK),1,SK(SKK),5
K(SK)K(S(KK)),1,SK(S(KK)),5
KSK(K(SKK)),1,S(K(SKK)),5
KSK(K(S(KK))),1,S(K(S(KK))),5
K(S(KK)(SK)K),2,K(K(SKK)),5
K(S(KKSK)K),1,K(S(KK)K),5
K(S(K(KS)K)K),1,K(S(KS)K),5
K(S(K(KSK))K),1,K(S(KS)K),5
K(S(KK)S(KK)),2,K(K(S(KK))),5
K(S(KKS)(KK)),1,K(SK(KK)),5
K(SK(KSKK)),1,K(SK(SK)),5
K(SK(K(SK)K)),1,K(SK(SK)),5
K(S(K(K(SK))K)),1,K(S(K(SK))),5
K(S(KKS(KK))),1,K(S(K(KK))),5
K(S(K(KSKK))),1,K(S(K(SK))),5
K(S(K(K(SK)K))),1,K(S(K(SK))),5
K(S(K(KK)))SS,1,S(K(KK))S,5
KSK(K(KS))S,1,S(K(KS))S,5
K(S(K(KK))S)S,1,S(K(KK))S,5
K(S(KK)(KS))S,1,S(KK)(KS),5
K(SK(K(KS)))S,1,SK(K(KS)),5
K(S(K(K(KS))))S,1,S(K(K(KS))),5
K(S(KK))K(SS),1,S(KK)(SS),5
KSK(KK)(SS),1,S(KK)(SS),5
KSKK(K(SS)),1,SK(K(SS)),5
K(SK)K(K(SS)),1,SK(K(SS)),5
KSK(K(K(SS))),1,S(K(K(SS))),5
K(S(KKKS)S),1,K(S(KS)S),5
K(S(K(KK)S)S),1,K(S(KK)S),5
K(S(K(KKS))S),1,K(S(KK)S),5
K(S(KK)K(SS)),2,K(K(K(SS))),5
K(S(KKK)(SS)),1,K(SK(SS)),5
K(S(KK)(KSS)),1,K(S(KK)S),5
K(SK(KKSS)),1,K(SK(KS)),5
K(SK(K(KS)S)),1,K(SK(KS)),5
K(SK(K(KSS))),1,K(SK(KS)),5
K(S(K(K(KS))S)),1,K(S(K(KS))),5
K(S(KKK(SS))),1,K(S(K(SS))),5
K(S(K(KKSS))),1,K(S(K(KS))),5
K(S(K(K(KS)S))),1,K(S(K(KS))),5
K(S(K(K(KSS)))),1,K(S(K(KS))),5
K(S(K(KK)))SK,1,S(K(KK))K,5
KSK(K(KS))K,1,S(K(KS))K,5
K(S(K(KK))S)K,1,S(K(KK))S,5
K(S(KK)(KS))K,1,S(KK)(KS),5
K(SK(K(KS)))K,1,SK(K(KS)),5
K(S(K(K(KS))))K,1,S(K(K(KS))),5
K(S(KK))K(SK),1,S(KK)(SK),5
KSK(KK)(SK),1,S(KK)(SK),5
KSKK(K(SK)),1,SK(K(SK)),5
K(SK)K(K(SK)),1,SK(K(SK)),5
KSK(K(K(SK))),1,S(K(K(SK))),5
K(S(KKKS)K),1,K(S(KS)K),5
K(S(K(KK)S)K),1,K(S(KK)K),5
K(S(K(KKS))K),1,K(S(KK)K),5
K(S(KK)K(SK)),2,K(K(K(SK))),5
K(S(KKK)(SK)),1,K(SK(SK)),5
K(S(KK)(KSK)),1,K(S(KK)S),5
K(SK(KKSK)),1,K(SK(KK)),5
K(SK(K(KS)K)),1,K(SK(KS)),5
K(SK(K(KSK))),1,K(SK(KS)),5
K(S(K(K(KS))K)),1,K(S(K(KS))),5
K(S(KKK(SK))),1,K(S(K(SK))),5
K(S(K(KKSK))),1,K(S(K(KK))),5
K(S(K(K(KS)K))),1,K(S(K(KS))),5
K(S(K(K(KSK)))),1,K(S(K(KS))),5
K(S(K(KK)))KS,1,S(K(KK))S,5
KSK(K(KK))S,1,S(K(KK))S,5
K(S(K(KK))K)S,1,S(K(KK))K,5
K(S(KK)(KK))S,1,S(KK)(KK),5
K(SK(K(KK)))S,1,SK(K(KK)),5
K(S(K(K(KK))))S,1,S(K(K(KK))),5
K(S(KK))K(KS),1,S(KK)(KS),5
KSK(KK)(KS),1,S(KK)(KS),5
KSKK(K(KS)),1,SK(K(KS)),5
K(SK)K(K(KS)),1,SK(K(KS)),5
KSK(K(K(KS))),1,S(K(K(KS))),5
K(S(KKKK)S),1,K(S(KK)S),5
K(S(K(KK)K)S),1,K(S(KK)S),5
K(S(K(KKK))S),1,K(S(KK)S),5
K(S(KK)K(KS)),2,K(K(K(KS))),5
K(S(KKK)(KS)),1,K(SK(KS)),5
K(S(KK)(KKS)),1,K(S(KK)K),5
K(SK(KKKS)),1,K(SK(KS)),5
K(SK(K(KK)S)),1,K(SK(KK)),5
K(SK(K(KKS))),1,K(SK(KK)),5
K(S(K(K(KK))S)),1,K(S(K(KK))),5
K(S(KKK(KS))),1,K(S(K(KS))),5
K(S(K(KKKS))),1,K(S(K(KS))),5
K(S(K(K(KK)S))),1,K(S(K(KK))),5
K(S(K(K(KKS)))),1,K(S(K(KK))),5
K(S(K(KK)))KK,1,S(K(KK))K,5
KSK(K(KK))K,1,S(K(KK))K,5
K(S(K(KK))K)K,1,S(K(KK))K,5
K(S(KK)(KK))K,1,S(KK)(KK),5
K(SK(K(KK)))K,1,SK(K(KK)),5
K(S(K(K(KK))))K,1,S(K(K(KK))),5
K(S(KK))K(KK),1,S(KK)(KK),5
KSK(KK)(KK),1,S(KK)(KK),5
KSKK(K(KK)),1,SK(K(KK)),5
K(SK)K(K(KK)),1,SK(K(KK)),5
KSK(K(K(KK))),1,S(K(K(KK))),5
K(S(KKKK)K),1,K(S(KK)K),5
K(S(K(KK)K)K),1,K(S(KK)K),5
K(S(K(KKK))K),1,K(S(KK)K),5
K(S(KK)K(KK)),2,K(K(K(KK))),5
K(S(KKK)(KK)),1,K(SK(KK)),5
K(S(KK)(KKK)),1,K(S(KK)K),5
K(SK(KKKK)),1,K(SK(KK)),5
K(SK(K(KK)K)),1,K(SK(KK)),5
K(SK(K(KKK))),1,K(SK(KK)),5
K(S(K(K(KK))K)),1,K(S(K(KK))),5
K(S(KKK(KK))),1,K(S(K(KK))),5
K(S(K(KKKK))),1,K(S(K(KK))),5
K(S(K(K(KK)K))),1,K(S(K(KK))),5
K(S(K(K(KKK)))),1,K(S(K(KK))),5
K(K(SSSS))S,2,K(SS(SS)),5
K(K(S(SS)S))S,1,K(S(SS)S),5
K(K(SS(SS)))S,1,K(SS(SS)),5
K(K(S(SSS)))S,1,K(S(SSS)),5
K(K(S(S(SS))))S,1,K(S(S(SS))),5
KKS(SSSS),2,K(SS(SS)),5
KKS(S(SS)S),1,K(S(SS)S),5
KKS(SS(SS)),1,K(SS(SS)),5
KKS(S(SSS)),1,K(S(SSS)),5
KKS(S(S(SS))),1,K(S(S(SS))),5
K(KSSSSS),2,K(SS(SS)),5
K(K(SS)SSS),2,K(SS(SS)),5
K(K(SSS)SS),2,K(SS(SS)),5
K(K(S(SS))SS),1,K(S(SS)S),5
K(KSS(SS)S),1,K(S(SS)S),5
K(K(SSSS)S),2,K(SS(SS)),5
K(K(S(SS)S)S),1,K(S(SS)S),5
K(K(SS(SS))S),1,K(SS(SS)),5
K(K(S(SSS))S),1,K(S(SSS)),5
K(K(S(S(SS)))S),1,K(S(S(SS))),5
K(KSSS(SS)),1,K(SS(SS)),5
K(K(SS)S(SS)),1,K(SS(SS)),5
K(KSS(SSS)),1,K(S(SSS)),5
K(KSS(S(SS))),1,K(S(S(SS))),5
K(K(SSSS))K,2,K(SS(SS)),5
K(K(S(SS)S))K,1,K(S(SS)S),5
K(K(SS(SS)))K,1,K(SS(SS)),5
K(K(S(SSS)))K,1,K(S(SSS)),5
K(K(S(S(SS))))K,1,K(S(S(SS))),5
KKS(SSSK),2,K(SK(SK)),5
KKS(S(SS)K),1,K(S(SS)K),5
KKS(SS(SK)),1,K(SS(SK)),5
KKS(S(SSK)),1,K(S(SSK)),5
KKS(S(S(SK))),1,K(S(S(SK))),5
K(KSSSSK),2,K(SK(SK)),5
K(K(SS)SSK),2,K(SK(SK)),5
K(K(SSS)SK),2,K(SK(SK)),5
K(K(S(SS))SK),1,K(S(SS)K),5
K(KSS(SS)K),1,K(S(SS)K),5
K(K(SSSS)K),2,K(SS(SS)),5
K(K(S(SS)S)K),1,K(S(SS)S),5
K(K(SS(SS))K),1,K(SS(SS)),5
K(K(S(SSS))K),1,K(S(SSS)),5
K(K(S(S(SS)))K),1,K(S(S(SS))),5
K(KSSS(SK)),1,K(SS(SK)),5
K(K(SS)S(SK)),1,K(SS(SK)),5
K(KSS(SSK)),1,K(S(SSK)),5
K(KSS(S(SK))),1,K(S(S(SK))),5
K(K(SSSK))S,2,K(SK(SK)),5
K(K(S(SS)K))S,1,K(S(SS)K),5
K(K(SS(SK)))S,1,K(SS(SK)),5
K(K(S(SSK)))S,1,K(S(SSK)),5
K(K(S(S(SK))))S,1,K(S(S(SK))),5
KKS(SSKS),2,K(SS(KS)),5
KKS(S(SK)S),1,K(S(SK)S),5
KKS(SS(KS)),1,K(SS(KS)),5
KKS(S(SKS)),1,K(S(SKS)),5
KKS(S(S(KS))),1,K(S(S(KS))),5
K(KSSSKS),2,K(SS(KS)),5
K(K(SS)SKS),2,K(SS(KS)),5
K(K(SSS)KS),2,K(SS(SS)),5
K(K(S(SS))KS),1,K(S(SS)S),5
K(KSS(SK)S),1,K(S(SK)S),5
K(K(SSSK)S),2,K(SK(SK)),5
K(K(S(SS)K)S),1,K(S(SS)K),5
K(K(SS(SK))S),1,K(SS(SK)),5
K(K(S(SSK))S),1,K(S(SSK)),5
K(K(S(S(SK)))S),1,K(S(S(SK))),5
K(KSSS(KS)),1,K(SS(KS)),5
K(K(SS)S(KS)),1,K(SS(KS)),5
K(KSS(SKS)),1,K(S(SKS)),5
K(KSS(S(KS))),1,K(S(S(KS))),5
K(K(SSSK))K,2,K(SK(SK)),5
K(K(S(SS)K))K,1,K(S(SS)K),5
K(K(SS(SK)))K,1,K(SS(SK)),5
K(K(S(SSK)))K,1,K(S(SSK)),5
K(K(S(S(SK))))K,1,K(S(S(SK))),5
KKS(SSKK),2,K(SK(KK)),5
KKS(S(SK)K),1,K(S(SK)K),5
KKS(SS(KK)),1,K(SS(KK)),5
KKS(S(SKK)),1,K(S(SKK)),5
KKS(S(S(KK))),1,K(S(S(KK))),5
K(KSSSKK),2,K(SK(KK)),5
K(K(SS)SKK),2,K(SK(KK)),5
K(K(SSS)KK),2,K(SK(SK)),5
K(K(S(SS))KK),1,K(S(SS)K),5
K(KSS(SK)K),1,K(S(SK)K),5
K(K(SSSK)K),2,K(SK(SK)),5
K(K(S(SS)K)K),1,K(S(SS)K),5
K(K(SS(SK))K),1,K(SS(SK)),5
K(K(S(SSK))K),1,K(S(SSK)),5
K(K(S(S(SK)))K),1,K(S(S(SK))),5
K(KSSS(KK)),1,K(SS(KK)),5
K(K(SS)S(KK)),1,K(SS(KK)),5
K(KSS(SKK)),1,K(S(SKK)),5
K(KSS(S(KK))),1,K(S(S(KK))),5
K(K(SSKS))S,2,K(SS(KS)),5
K(K(S(SK)S))S,1,K(S(SK)S),5
K(K(SS(KS)))S,1,K(SS(KS)),5
K(K(S(SKS)))S,1,K(S(SKS)),5
K(K(S(S(KS))))S,1,K(S(S(KS))),5
KKS(S(KS)S),1,K(S(KS)S),5
KKS(SK(SS)),1,K(SK(SS)),5
KKS(S(K(SS))),1,K(S(K(SS))),5
K(K(SS)KSS),2,K(SS(SS)),5
K(K(SSK)SS),2,K(SS(KS)),5
K(K(S(SK))SS),1,K(S(SK)S),5
K(KSS(KS)S),1,K(S(KS)S),5
K(K(SSKS)S),2,K(SS(KS)),5
K(K(S(SK)S)S),1,K(S(SK)S),5
K(K(SS(KS))S),1,K(SS(KS)),5
K(K(S(SKS))S),1,K(S(SKS)),5
K(K(S(S(KS)))S),1,K(S(S(KS))),5
K(KSSK(SS)),1,K(SK(SS)),5
K(K(SS)K(SS)),1,K(SS(SS)),5
K(KSS(K(SS))),1,K(S(K(SS))),5
K(K(SSKSS)),3,K(K(SSS)),5
K(K(SS(KS)S)),2,K(K(SSS)),5
K(K(SS(KSS))),1,K(K(SSS)),5
K(K(S(S(KSS)))),1,K(K(S(SS))),5
K(K(SSKS))K,2,K(SS(KS)),5
K(K(S(SK)S))K,1,K(S(SK)S),5
K(K(SS(KS)))K,1,K(SS(KS)),5
K(K(S(SKS)))K,1,K(S(SKS)),5
K(K(S(S(KS))))K,1,K(S(S(KS))),5
KKS(S(KS)K),1,K(S(KS)K),5
KKS(SK(SK)),1,K(SK(SK)),5
KKS(S(K(SK))),1,K(S(K(SK))),5
K(K(SS)KSK),2,K(SK(SK)),5
K(K(SSK)SK),2,K(SK(KK)),5
K(K(S(SK))SK),1,K(S(SK)K),5
K(KSS(KS)K),1,K(S(KS)K),5
K(K(SSKS)K),2,K(SS(KS)),5
K(K(S(SK)S)K),1,K(S(SK)S),5
K(K(SS(KS))K),1,K(SS(KS)),5
K(K(S(SKS))K),1,K(S(SKS)),5
K(K(S(S(KS)))K),1,K(S(S(KS))),5
K(KSSK(SK)),1,K(SK(SK)),5
K(K(SS)K(SK)),1,K(SS(SK)),5
K(KSS(K(SK))),1,K(S(K(SK))),5
K(K(SSKSK)),3,K(K(SKS)),5
K(K(SS(KS)K)),2,K(K(SKS)),5
K(K(SS(KSK))),1,K(K(SSS)),5
K(K(S(S(KSK)))),1,K(K(S(SS))),5
K(K(SSKK))S,2,K(SK(KK)),5
K(K(S(SK)K))S,1,K(S(SK)K),5
K(K(SS(KK)))S,1,K(SS(KK)),5
K(K(S(SKK)))S,1,K(S(SKK)),5
K(K(S(S(KK))))S,1,K(S(S(KK))),5
KKS(S(KK)S),1,K(S(KK)S),5
KKS(SK(KS)),1,K(SK(KS)),5
KKS(S(K(KS))),1,K(S(K(KS))),5
K(K(SS)KKS),2,K(SS(KS)),5
K(K(SSK)KS),2,K(SS(KS)),5
K(K(S(SK))KS),1,K(S(SK)S),5
K(KSS(KK)S),1,K(S(KK)S),5
K(K(SSKK)S),2,K(SK(KK)),5
K(K(S(SK)K)S),1,K(S(SK)K),5
K(K(SS(KK))S),1,K(SS(KK)),5
K(K(S(SKK))S),1,K(S(SKK)),5
K(K(S(S(KK)))S),1,K(S(S(KK))),5
K(KSSK(KS)),1,K(SK(KS)),5
K(K(SS)K(KS)),1,K(SS(KS)),5
K(KSS(K(KS))),1,K(S(K(KS))),5
K(K(SS(KK)S)),2,K(K(SSK)),5
K(K(SS(KKS))),1,K(K(SSK)),5
K(K(S(S(KKS)))),1,K(K(S(SK))),5
K(K(SSKK))K,2,K(SK(KK)),5
K(K(S(SK)K))K,1,K(S(SK)K),5
K(K(SS(KK)))K,1,K(SS(KK)),5
K(K(S(SKK)))K,1,K(S(SKK)),5
K(K(S(S(KK))))K,1,K(S(S(KK))),5
KKS(S(KK)K),1,K(S(KK)K),5
KKS(SK(KK)),1,K(SK(KK)),5
KKS(S(K(KK))),1,K(S(K(KK))),5
K(K(SS)KKK),2,K(SK(KK)),5
K(K(SSK)KK),2,K(SK(KK)),5
K(K(S(SK))KK),1,K(S(SK)K),5
K(KSS(KK)K),1,K(S(KK)K),5
K(K(SSKK)K),2,K(SK(KK)),5
K(K(S(SK)K)K),1,K(S(SK)K),5
K(K(SS(KK))K),1,K(SS(KK)),5
K(K(S(SKK))K),1,K(S(SKK)),5
K(K(S(S(KK)))K),1,K(S(S(KK))),5
K(KSSK(KK)),1,K(SK(KK)),5
K(K(SS)K(KK)),1,K(SS(KK)),5
K(KSS(K(KK))),1,K(S(K(KK))),5
K(K(SS(KK)K)),2,K(K(SKK)),5
K(K(SS(KKK))),1,K(K(SSK)),5
K(K(S(S(KKK)))),1,K(K(S(SK))),5
K(K(S(KS)S))S,1,K(S(KS)S),5
K(K(SK(SS)))S,1,K(SK(SS)),5
K(K(S(K(SS))))S,1,K(S(K(SS))),5
KKS(K(SSS)),1,K(K(SSS)),5
KKS(K(S(SS))),1,K(K(S(SS))),5
K(KSKSSS),2,K(SS(SS)),5
K(K(S(KS))SS),1,K(S(KS)S),5
K(KSK(SS)S),1,K(S(SS)S),5
K(K(S(KS)S)S),1,K(S(KS)S),5
K(K(SK(SS))S),1,K(SK(SS)),5
K(K(S(K(SS)))S),1,K(S(K(SS))),5
K(KSKS(SS)),1,K(SS(SS)),5
K(K(SK)S(SS)),1,K(SK(SS)),5
K(KSK(SSS)),1,K(S(SSS)),5
K(KSK(S(SS))),1,K(S(S(SS))),5
K(K(S(KS)SS)),2,K(K(S(SS))),5
K(K(S(KSS)S)),1,K(K(SSS)),5
K(K(S(KSSS))),1,K(K(S(SS))),5
K(K(S(K(SS)S))),1,K(K(S(SS))),5
K(K(S(KS)S))K,1,K(S(KS)S),5
K(K(SK(SS)))K,1,K(SK(SS)),5
K(K(S(K(SS))))K,1,K(S(K(SS))),5
KKS(K(SSK)),1,K(K(SSK)),5
KKS(K(S(SK))),1,K(K(S(SK))),5
K(KSKSSK),2,K(SK(SK)),5
K(K(S(KS))SK),1,K(S(KS)K),5
K(KSK(SS)K),1,K(S(SS)K),5
K(K(S(KS)S)K),1,K(S(KS)S),5
K(K(SK(SS))K),1,K(SK(SS)),5
K(K(S(K(SS)))K),1,K(S(K(SS))),5
K(KSKS(SK)),1,K(SS(SK)),5
K(K(SK)S(SK)),1,K(SK(SK)),5
K(KSK(SSK)),1,K(S(SSK)),5
K(KSK(S(SK))),1,K(S(S(SK))),5
K(K(S(KS)SK)),2,K(K(S(SK))),5
K(K(S(KSS)K)),1,K(K(SSK)),5
K(K(S(KSSK))),1,K(K(S(SK))),5
K(K(S(K(SS)K))),1,K(K(S(SS))),5
K(K(S(KS)K))S,1,K(S(KS)K),5
K(K(SK(SK)))S,1,K(SK(SK)),5
K(K(S(K(SK))))S,1,K(S(K(SK))),5
KKS(K(SKS)),1,K(K(SKS)),5
KKS(K(S(KS))),1,K(K(S(KS))),5
K(KSKSKS),2,K(SS(KS)),5
K(K(S(KS))KS),1,K(S(KS)S),5
K(KSK(SK)S),1,K(S(SK)S),5
K(K(S(KS)K)S),1,K(S(KS)K),5
K(K(SK(SK))S),1,K(SK(SK)),5
K(K(S(K(SK)))S),1,K(S(K(SK))),5
K(KSKS(KS)),1,K(SS(KS)),5
K(K(SK)S(KS)),1,K(SK(KS)),5
K(KSK(SKS)),1,K(S(SKS)),5
K(KSK(S(KS))),1,K(S(S(KS))),5
K(K(S(KS)KS)),2,K(K(S(KS))),5
K(K(S(KSK)S)),1,K(K(SSS)),5
K(K(S(KSKS))),1,K(K(S(SS))),5
K(K(S(K(SK)S))),1,K(K(S(SK))),5
K(K(S(KS)K))K,1,K(S(KS)K),5
K(K(SK(SK)))K,1,K(SK(SK)),5
K(K(S(K(SK))))K,1,K(S(K(SK))),5
KKS(K(SKK)),1,K(K(SKK)),5
KKS(K(S(KK))),1,K(K(S(KK))),5
K(KSKSKK),2,K(SK(KK)),5
K(K(S(KS))KK),1,K(S(KS)K),5
K(KSK(SK)K),1,K(S(SK)K),5
K(K(S(KS)K)K),1,K(S(KS)K),5
K(K(SK(SK))K),1,K(SK(SK)),5
K(K(S(K(SK)))K),1,K(S(K(SK))),5
K(KSKS(KK)),1,K(SS(KK)),5
K(K(SK)S(KK)),1,K(SK(KK)),5
K(KSK(SKK)),1,K(S(SKK)),5
K(KSK(S(KK))),1,K(S(S(KK))),5
K(K(S(KS)KK)),2,K(K(S(KK))),5
K(K(S(KSK)K)),1,K(K(SSK)),5
K(K(S(KSKK))),1,K(K(S(SK))),5
K(K(S(K(SK)K))),1,K(K(S(SK))),5
K(K(S(KK)S))S,1,K(S(KK)S),5
K(K(SK(KS)))S,1,K(SK(KS)),5
K(K(S(K(KS))))S,1,K(S(K(KS))),5
KKS(K(K(SS))),1,K(K(K(SS))),5
K(K(S(KK))SS),1,K(S(KK)S),5
K(KSK(KS)S),1,K(S(KS)S),5
K(K(S(KK)S)S),1,K(S(KK)S),5
K(K(SK(KS))S),1,K(SK(KS)),5
K(K(S(K(KS)))S),1,K(S(K(KS))),5
K(KSKK(SS)),1,K(SK(SS)),5
K(K(SK)K(SS)),1,K(SK(SS)),5
K(KSK(K(SS))),1,K(S(K(SS))),5
K(K(S(KK)SS)),2,K(K(K(SS))),5
K(K(S(KKS)S)),1,K(K(SKS)),5
K(K(SK(KSS))),1,K(K(SKS)),5
K(K(S(KKSS))),1,K(K(S(KS))),5
K(K(S(K(KS)S))),1,K(K(S(KS))),5
K(K(S(K(KSS)))),1,K(K(S(KS))),5
K(K(S(KK)S))K,1,K(S(KK)S),5
K(K(SK(KS)))K,1,K(SK(KS)),5
K(K(S(K(KS))))K,1,K(S(K(KS))),5
KKS(K(K(SK))),1,K(K(K(SK))),5
K(K(S(KK))SK),1,K(S(KK)K),5
K(KSK(KS)K),1,K(S(KS)K),5
K(K(S(KK)S)K),1,K(S(KK)S),5
K(K(SK(KS))K),1,K(SK(KS)),5
K(K(S(K(KS)))K),1,K(S(K(KS))),5
K(KSKK(SK)),1,K(SK(SK)),5
K(K(SK)K(SK)),1,K(SK(SK)),5
K(KSK(K(SK))),1,K(S(K(SK))),5
K(K(S(KK)SK)),2,K(K(K(SK))),5
K(K(S(KKS)K)),1,K(K(SKK)),5
K(K(SK(KSK))),1,K(K(SKS)),5
K(K(S(KKSK))),1,K(K(S(KK))),5
K(K(S(K(KS)K))),1,K(K(S(KS))),5
K(K(S(K(KSK)))),1,K(K(S(KS))),5
K(K(S(KK)K))S,1,K(S(KK)K),5
K(K(SK(KK)))S,1,K(SK(KK)),5
K(K(S(K(KK))))S,1,K(S(K(KK))),5
KKS(K(K(KS))),1,K(K(K(KS))),5
K(K(S(KK))KS),1,K(S(KK)S),5
K(KSK(KK)S),1,K(S(KK)S),5
K(K(S(KK)K)S),1,K(S(KK)K),5
K(K(SK(KK))S),1,K(SK(KK)),5
K(K(S(K(KK)))S),1,K(S(K(KK))),5
K(KSKK(KS)),1,K(SK(KS)),5
K(K(SK)K(KS)),1,K(SK(KS)),5
K(KSK(K(KS))),1,K(S(K(KS))),5
K(K(S(KK)KS)),2,K(K(K(KS))),5
K(K(S(KKK)S)),1,K(K(SKS)),5
K(K(SK(KKS))),1,K(K(SKK)),5
K(K(S(KKKS))),1,K(K(S(KS))),5
K(K(S(K(KK)S))),1,K(K(S(KK))),5
K(K(S(K(KKS)))),1,K(K(S(KK))),5
K(K(S(KK)K))K,1,K(S(KK)K),5
K(K(SK(KK)))K,1,K(SK(KK)),5
K(K(S(K(KK))))K,1,K(S(K(KK))),5
KKS(K(K(KK))),1,K(K(K(KK))),5
K(K(S(KK))KK),1,K(S(KK)K),5
K(KSK(KK)K),1,K(S(KK)K),5
K(K(S(KK)K)K),1,K(S(KK)K),5
K(K(SK(KK))K),1,K(SK(KK)),5
K(K(S(K(KK)))K),1,K(S(K(KK))),5
K(KSKK(KK)),1,K(SK(KK)),5
K(K(SK)K(KK)),1,K(SK(KK)),5
K(KSK(K(KK))),1,K(S(K(KK))),5
K(K(S(KK)KK)),2,K(K(K(KK))),5
K(K(S(KKK)K)),1,K(K(SKK)),5
K(K(SK(KKK))),1,K(K(SKK)),5
K(K(S(KKKK))),1,K(K(S(KK))),5
K(K(S(K(KK)K))),1,K(K(S(KK))),5
K(K(S(K(KKK)))),1,K(K(S(KK))),5
K(K(K(SSS)))S,1,K(K(SSS)),5
K(K(K(S(SS))))S,1,K(K(S(SS))),5
KKK(SSSS),2,K(SS(SS)),5
KKK(S(SS)S),1,K(S(SS)S),5
KKK(SS(SS)),1,K(SS(SS)),5
KKK(S(SSS)),1,K(S(SSS)),5
KKK(S(S(SS))),1,K(S(S(SS))),5
K(K(K(SSS))S),1,K(K(SSS)),5
