Human-Readable Term,Reduction Steps,Normal Form,Normal Form Size
SS(SSK)(KK),2,S(KK)(S(KK)(K(KK))),9
SSSS(K(KK)),2,S(K(KK))(SS(K(KK))),9
SS(SS)(K(KK)),1,S(K(KK))(SS(K(KK))),9
S(SSS(K(KK))),1,S(S(K(KK))(S(K(KK)))),9
SS(SK)(SSS),1,S(SSS)(SK(SSS)),9
SS(SK)(S(SS)),1,S(S(SS))(SK(S(SS))),9
S(SSK(SSS)),1,S(S(SSS)(K(SSS))),9
S(SSK(S(SS))),1,S(S(S(SS))(K(S(SS)))),9
SS(SK)(SSK),1,S(SSK)(SK(SSK)),9
SS(SK)(S(SK)),1,S(S(SK))(SK(S(SK))),9
S(SSK(SSK)),1,S(S(SSK)(K(SSK))),9
S(SSK(S(SK))),1,S(S(S(SK))(K(S(SK)))),9
S(SS)K(SKS),4,S(K(SKS))(K(SKS)),9
SS(SK)(SKS),1,S(SKS)(SK(SKS)),9
SS(SK)(S(KS)),1,S(S(KS))(SK(S(KS))),9
S(SSK(SKS)),1,S(S(SKS)(K(SKS))),9
S(SSK(S(KS))),1,S(S(S(KS))(K(S(KS)))),9
S(SS)K(SKK),4,S(K(SKK))(K(SKK)),9
SS(SK)(SKK),1,S(SKK)(SK(SKK)),9
SS(SK)(S(KK)),1,S(S(KK))(SK(S(KK))),9
S(SSK(SKK)),1,S(S(SKK)(K(SKK))),9
S(SSK(S(KK))),1,S(S(S(KK))(K(S(KK)))),9
SS(SK)(K(SS)),1,S(K(SS))(SK(K(SS))),9
S(SSK(K(SS))),1,S(S(K(SS))(K(K(SS)))),9
SS(SK)(K(SK)),1,S(K(SK))(SK(K(SK))),9
S(SSK(K(SK))),1,S(S(K(SK))(K(K(SK)))),9
SS(SK)(K(KS)),1,S(K(KS))(SK(K(KS))),9
S(SSK(K(KS))),1,S(S(K(KS))(K(K(KS)))),9
SS(SK)(K(KK)),1,S(K(KK))(SK(K(KK))),9
S(SSK(K(KK))),1,S(S(K(KK))(K(K(KK)))),9
SSK(SSS)S,6,S(SSS)(SS(SSS)),9
K(S(SS)(SS)S),2,K(S(SSS)(S(SSS))),9
K(SSS(SSS)),1,K(S(SSS)(S(SSS))),9
K(SSS(S(SS))),1,K(S(S(SS))(S(S(SS)))),9
K(S(SS)(SS)K),2,K(S(SSK)(K(SSK))),9
K(SSS(SSK)),1,K(S(SSK)(S(SSK))),9
K(SSS(S(SK))),1,K(S(S(SK))(S(S(SK)))),9
K(S(SS)(SK)S),2,K(S(SKS)(S(SKS))),9
K(SSS(SKS)),1,K(S(SKS)(S(SKS))),9
K(SSS(S(KS))),1,K(S(S(KS))(S(S(KS)))),9
K(S(SS)(SK)K),2,K(S(SKK)(K(SKK))),9
K(SSS(SKK)),1,K(S(SKK)(S(SKK))),9
K(SSS(S(KK))),1,K(S(S(KK))(S(S(KK)))),9
K(SSS(K(SS))),1,K(S(K(SS))(S(K(SS)))),9
K(SSS(K(SK))),1,K(S(K(SK))(S(K(SK)))),9
K(SSS(K(KS))),1,K(S(K(KS))(S(K(KS)))),9
K(SSS(K(KK))),1,K(S(K(KK))(S(K(KK)))),9
K(SSK(SSS)),1,K(S(SSS)(K(SSS))),9
K(SSK(S(SS))),1,K(S(S(SS))(K(S(SS)))),9
K(SSK(SSK)),1,K(S(SSK)(K(SSK))),9
K(SSK(S(SK))),1,K(S(S(SK))(K(S(SK)))),9
K(SSK(SKS)),1,K(S(SKS)(K(SKS))),9
K(SSK(S(KS))),1,K(S(S(KS))(K(S(KS)))),9
K(SSK(SKK)),1,K(S(SKK)(K(SKK))),9
K(SSK(S(KK))),1,K(S(S(KK))(K(S(KK)))),9
K(SSK(K(SS))),1,K(S(K(SS))(K(K(SS)))),9
K(SSK(K(SK))),1,K(S(K(SK))(K(K(SK)))),9
K(SSK(K(KS))),1,K(S(K(KS))(K(K(KS)))),9
K(SSK(K(KK))),1,K(S(K(KK))(K(K(KK)))),9
SS(S(SS))SS,4,SS(S(SS)(S(SS))),8
SS(S(SS)S)S,3,SS(S(SS)(S(SS))),8
S(S(SS)SS)S,2,S(S(SS)(S(SS)))S,8
S(SSS(SS))S,1,S(S(SS)(S(SS)))S,8
SS(S(SS))(SS),1,S(SS)(S(SS)(SS)),8
SS(S(SS)SS),2,SS(S(SS)(S(SS))),8
SS(SSS(SS)),1,SS(S(SS)(S(SS))),8
S(S(SSS)SS),3,S(S(SS)(SS(SS))),8
S(SSSS(SS)),2,S(S(SS)(SS(SS))),8
S(SS(SS)(SS)),1,S(S(SS)(SS(SS))),8
S(S(S(SS)SS)),2,S(S(S(SS)(S(SS)))),8
S(S(SSS(SS))),1,S(S(S(SS)(S(SS)))),8
SS(S(SS))SK,4,SK(S(SK)(K(SK))),8
S(S(S(SS)))SK,5,S(SK(K(SK)))(SK),8
SS(S(SS)S)K,3,SK(S(SK)(K(SK))),8
S(S(SS)SS)K,2,S(S(SS)(S(SS)))K,8
S(SSS(SS))K,1,S(S(SS)(S(SS)))K,8
SS(S(SS))(SK),1,S(SK)(S(SS)(SK)),8
SS(S(SS)SK),2,SS(S(SK)(K(SK))),8
SS(SSS(SK)),1,SS(S(SK)(S(SK))),8
S(SSSS(SK)),2,S(S(SK)(SS(SK))),8
S(SS(SS)(SK)),1,S(S(SK)(SS(SK))),8
S(S(S(SS)SK)),2,S(S(S(SK)(K(SK)))),8
S(S(SSS(SK))),1,S(S(S(SK)(S(SK)))),8
S(SS)SSKS,10,S(S(KS)(S(SS)K)),8
SSS(SS)KS,9,S(S(KS)(S(SS)K)),8
SS(S(SS)K)S,3,SS(S(KS)(S(KS))),8
S(S(SS)SK)S,2,S(S(SK)(K(SK)))S,8
S(SSS(SK))S,1,S(S(SK)(S(SK)))S,8
SS(S(SS))(KS),1,S(KS)(S(SS)(KS)),8
SS(S(SS)KS),2,SS(S(KS)(S(KS))),8
SS(SSS(KS)),1,SS(S(KS)(S(KS))),8
S(S(SSS)KS),3,S(S(KS)(SS(KS))),8
